Date,Open,High,Low,Close
12/1/2022,17102.00,17211.00,16876.00,16931.00
11/30/2022,16454.00,17103.00,16429.00,17102.00
11/29/2022,16193.00,16528.00,16094.00,16454.00
11/28/2022,16570.00,16586.00,16018.00,16193.00
11/27/2022,16507.00,16587.00,16390.00,16570.00
11/26/2022,16503.00,16678.00,16425.00,16507.00
11/25/2022,16537.00,16606.00,16352.00,16503.00
11/24/2022,16482.00,16769.00,16448.00,16537.00
11/23/2022,16137.00,16622.00,16091.00,16482.00
11/22/2022,15602.00,16251.00,15599.00,16137.00
11/21/2022,16251.00,16331.00,15508.00,15602.00
11/20/2022,16665.00,16799.00,16236.00,16251.00
11/19/2022,16640.00,16703.00,16552.00,16665.00
11/18/2022,16681.00,16963.00,16544.00,16640.00
11/17/2022,16538.00,16723.00,16407.00,16681.00
11/16/2022,16880.00,16968.00,16381.00,16538.00
11/15/2022,16393.00,17094.00,16344.00,16880.00
11/14/2022,16380.00,17111.00,15807.00,16393.00
11/13/2022,16793.00,16911.00,16250.00,16380.00
11/12/2022,16773.00,17092.00,16619.00,16793.00
11/11/2022,17807.00,17857.00,16429.00,16773.00
11/10/2022,15788.00,18096.00,15614.00,17807.00
11/9/2022,18711.00,18724.00,15691.00,15788.00
11/8/2022,20667.00,20667.00,17302.00,18711.00
11/7/2022,21132.00,21179.00,20621.00,20667.00
11/6/2022,21367.00,21372.00,21125.00,21132.00
11/5/2022,21147.00,21486.00,21085.00,21367.00
11/4/2022,20240.00,21200.00,20164.00,21147.00
11/3/2022,20192.00,20387.00,20063.00,20240.00
11/2/2022,20481.00,20739.00,20118.00,20192.00
11/1/2022,20407.00,20670.00,20368.00,20481.00
10/31/2022,20683.00,20819.00,20274.00,20407.00
10/30/2022,20865.00,20944.00,20578.00,20688.00
10/29/2022,20634.00,21020.00,20566.00,20865.00
10/28/2022,20418.00,20738.00,20055.00,20649.00
10/27/2022,20754.00,20901.00,20261.00,20418.00
10/26/2022,20172.00,20985.00,20023.00,20754.00
10/25/2022,19374.00,20397.00,19240.00,20172.00
10/24/2022,19498.00,19674.00,19168.00,19374.00
10/23/2022,19218.00,19517.00,19081.00,19498.00
10/22/2022,19179.00,19252.00,19118.00,19220.00
10/21/2022,19027.00,19227.00,18734.00,19179.00
10/20/2022,19196.00,19302.00,18937.00,19022.00
10/19/2022,19365.00,19375.00,19113.00,19196.00
10/18/2022,19527.00,19683.00,19113.00,19373.00
10/17/2022,19349.00,19631.00,19128.00,19527.00
10/16/2022,19103.00,19395.00,19010.00,19352.00
10/15/2022,19186.00,19219.00,19052.00,19103.00
10/14/2022,19382.00,19916.00,19139.00,19187.00
10/13/2022,19163.00,19501.00,18271.00,19382.00
10/12/2022,19026.00,19188.00,18999.00,19148.00
10/11/2022,19243.00,19270.00,18888.00,19026.00
10/10/2022,19477.00,19518.00,19137.00,19243.00
10/9/2022,19461.00,19558.00,19278.00,19477.00
10/8/2022,19549.00,19643.00,19424.00,19461.00
10/7/2022,20055.00,20055.00,19351.00,19549.00
10/6/2022,20022.00,20438.00,19890.00,20049.00
10/5/2022,20350.00,20402.00,19779.00,20022.00
10/4/2022,19590.00,20420.00,19511.00,20350.00
10/3/2022,19227.00,19630.00,18945.00,19590.00
10/2/2022,19250.00,19391.00,19062.00,19231.00
10/1/2022,19425.00,19476.00,19218.00,19250.00
9/30/2022,19483.00,20131.00,19198.00,19420.00
9/29/2022,19574.00,19726.00,18825.00,19483.00
9/28/2022,19055.00,19623.00,18506.00,19565.00
9/27/2022,19121.00,20366.00,18854.00,19055.00
9/26/2022,18888.00,19288.00,18662.00,19135.00
9/25/2022,19138.00,19142.00,18817.00,18888.00
9/24/2022,18852.00,19386.00,18813.00,19138.00
9/23/2022,19247.00,19481.00,18571.00,18852.00
9/22/2022,18918.00,19470.00,18189.00,19247.00
9/21/2022,18976.00,19713.00,18808.00,18918.00
9/20/2022,19520.00,19663.00,18803.00,18970.00
9/19/2022,19721.00,19721.00,18397.00,19520.00
9/18/2022,20081.00,20147.00,19597.00,19721.00
9/17/2022,19743.00,20178.00,19705.00,20081.00
9/16/2022,19836.00,19896.00,19360.00,19743.00
9/15/2022,19948.00,20376.00,19555.00,19836.00
9/14/2022,20254.00,20487.00,19646.00,19948.00
9/13/2022,22396.00,22733.00,20079.00,20254.00
9/12/2022,21643.00,22467.00,21500.00,22396.00
9/11/2022,21487.00,21860.00,21426.00,21643.00
